ID_1,AR_1,Dec_1,ID_2,AR_2,Dec_2
0108+015,01:08:38.7710,+01:35:00.317,0106+0119,01:08:38.76,+01:34:59.7
0137-245,01:37:38.3463,-24:30:53.885,0135-247,01:37:38.3,-24:30:54
0210-510,02:10:46.2051,-51:01:01.874,0208-512,02:10:46.2,-51:01:01.891
0238+166,02:38:38.9301,+16:36:59.274,0235+164,02:38:38.93,+16:36:59.275
0238+166,02:38:38.9301,+16:36:59.274,0238-3116,02:38:32.5,-31:16:58
0303+472,03:03:35.2422,+47:16:16.275,0301-243,03:03:26.5,-24:07:11.0
0403-360,04:03:53.7499,-36:05:01.913,0402-362,04:03:53.7,-36:05:02
0424-379,04:24:42.2437,-37:56:20.784,0422+004,04:24:46.8,+00:36:06
0424+006,04:24:46.8420,+00:36:06.329,0422+004,04:24:46.8,+00:36:06
0428+329,04:28:05.8087,+32:59:52.043,0426-380,04:28:40.42,-37:56:19.58
0428-379,04:28:40.4243,-37:56:19.580,0426-380,04:28:40.42,-37:56:19.58
0442-002,04:42:38.6607,-00:17:43.419,0440-00,04:42:38.661,-00:17:43.42
0457-234,04:57:03.1792,-23:24:52.020,0454-234,04:57:03.2,-23:24:52
0457+067,04:57:07.7099,+06:45:07.260,0454-234,04:57:03.2,-23:24:52
0501-019,05:01:12.8098,-01:59:14.256,0458-02,05:01:12.8,-01:59:14.0
0505+049,05:05:23.1847,+04:59:42.724,0502+049,05:05:23.18,+04:59:42.7
0530+135,05:30:56.4167,+13:31:55.149,0528+134,05:30:56.359,+13:31:55.03
0538-440,05:38:50.3615,-44:05:08.939,0537-441,05:38:50.3,-44:05:09
0730-116,07:30:19.1124,-11:41:12.600,0727-11,07:30:19.1,-11:41:13
0808-078,08:08:15.5360,-07:51:09.886,0805-077,08:08:15.5,-07:51:10
0808+498,08:08:39.6662,+49:50:36.530,0805-077,08:08:15.5,-07:51:10
0854+201,08:54:48.8749,+20:06:30.640,OJ287,08:54:48.87,+20:06:30.64
1058+812,10:58:11.5353,+81:14:32.675,1055+018,10:58:29.61,+01:33:58.8
1058+015,10:58:29.6052,+01:33:58.823,1055+018,10:58:29.61,+01:33:58.8
1127-189,11:27:04.3924,-18:57:17.441,1124-186,11:27:04.4,-18:57:17.44
1130-148,11:30:07.0525,-14:49:27.388,1127-14,11:30:07.0,-14:49:27
1147-382,11:47:01.3707,-38:12:11.023,1144-379,11:47:01.4,-38:12:11
1215-175,12:15:46.7517,-17:31:45.402,1212+078,12:15:10.9,+07:32:04
1246-075,12:46:04.2321,-07:30:46.574,1244-255,12:46:46.8,-25:47:49
1246-257,12:46:46.8020,-25:47:49.288,1244-255,12:46:46.8,-25:47:49
1256-057,12:56:11.1665,-05:47:21.524,3C279,12:56:11.1,-05:47:2
1337-129,13:37:39.7827,-12:57:24.693,1335-127,13:37:39.8,-12:57:25
1408-078,14:08:56.4812,-07:52:26.666,1406-076,14:08:56.48,-07:52:26.67
1427-421,14:27:56.2975,-42:06:19.437,1424-41,14:27:56.3,-42:06:19
1510-057,15:10:53.5914,-05:43:07.417,1508-05,15:10:53.6,-05:43:07
1512-090,15:12:50.5329,-09:05:59.829,1510-089,15:12:50.53,-09:05:58.99
1517-243,15:17:41.8131,-24:22:19.475,1514-241,15:17:41.8,-24:22:19
1553+129,15:53:32.6978,+12:56:51.716,1550-242,15:53:31.6,-24:22:06
1626-298,16:26:06.0208,-29:51:26.971,1622-297,16:26:06.02,-29:51:26.97
1733-130,17:33:02.7057,-13:04:49.548,1730-130,17:33:02.7,-13:04:49.54
1751+096,17:51:32.8185,+09:39:00.728,1749+096,17:51:32.8,+09:39:01
1957-387,19:57:59.8192,-38:45:06.356,1954-388,19:57:59.8,-38:45:06
2000-178,20:00:57.0904,-17:48:57.672,1958-179,20:00:57.1,-17:48:58
2056-472,20:56:16.40,-47:14:47.80,2052-474,20:56:16.3,-47:14:48
2151+071,21:51:31.4293,+07:09:26.783,2149-307,21:51:55.523,-30:27:53.697
2151-304,21:51:55.5240,-30:27:53.698,2149-307,21:51:55.523,-30:27:53.697
2158-150,21:58:06.2819,-15:01:09.328,2155-304,21:58:52.07,-30:13:32.1
2158-302,21:58:52.0650,-30:13:32.118,2155-304,21:58:52.07,-30:13:32.1
2225-049,22:25:47.2592,-04:57:01.390,3C446,22:25:47.2,-04:57:0
2229-085,22:29:40.0843,-08:32:54.435,2227-08,22:29:40.1,-08:32:54
2235-485,22:35:13.237,-48:35:58.79,2232-488,22:35:13.2,-48:35:59
2236+284,22:36:22.4708,+28:28:57.413,2233-148,22:36:34.1,-14:33:22.2
2243-257,22:43:26.4087,-25:44:30.687,2240-260,22:43:26.4,-25:44:31
2253+161,22:53:57.7479,+16:08:53.560,3C454.3,22:53:57.75,+16:08:53.56
2258-279,22:58:05.9628,-27:58:21.256,2255-282,22:58:05.9,-27:58:21
2329-475,23:29:17.704,-47:30:19.11,2326-502,23:29:20.88,-49:55:40.68
2331-159,23:31:38.6524,-15:56:57.009,2331-2148,23:31:04.0,-21:48:15
